,Contract Name,Last Day Traded,Strike,Last Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Implied Volatility,Price of Underlying,Date,Maturity Date,Option Type
314,AAPL180525P00160000,2018-04-26 3:58PM EDT,160.00,3.85,0.00,0.00,0.00,-,257,"1,212",3.13%,164.22,"Apr 26, 2018","May 25, 2018",Put
315,AAPL180525P00162500,2018-04-26 3:14PM EDT,162.50,4.95,0.00,0.00,0.00,-,36,430,0.78%,164.22,"Apr 26, 2018","May 25, 2018",Put
316,AAPL180525P00165000,2018-04-26 3:03PM EDT,165.00,6.05,0.00,0.00,0.00,-,14,981,0.00%,164.22,"Apr 26, 2018","May 25, 2018",Put
317,AAPL180525P00167500,2018-04-26 2:44PM EDT,167.50,7.51,0.00,0.00,0.00,-,117,642,0.00%,164.22,"Apr 26, 2018","May 25, 2018",Put
318,AAPL180525P00170000,2018-04-26 2:44PM EDT,170.00,9.09,0.00,0.00,0.00,-,20,"1,035",0.00%,164.22,"Apr 26, 2018","May 25, 2018",Put
319,AAPL180525P00172500,2018-04-26 2:03PM EDT,172.50,10.79,0.00,0.00,0.00,-,4,275,0.00%,164.22,"Apr 26, 2018","May 25, 2018",Put
320,AAPL180525P00177500,2018-04-24 3:51PM EDT,177.50,16.07,0.00,0.00,0.00,-,12,106,0.00%,164.22,"Apr 26, 2018","May 25, 2018",Put
321,AAPL180525P00180000,2018-04-24 3:53PM EDT,180.00,18.25,0.00,0.00,0.00,-,17,0,0.00%,164.22,"Apr 26, 2018","May 25, 2018",Put
322,AAPL180525P00182500,2018-04-20 1:34PM EDT,182.50,17.69,17.95,18.30,+5.81,+48.91%,21,186,15.63%,164.22,"Apr 26, 2018","May 25, 2018",Put
323,AAPL180525P00185000,2018-04-20 2:29PM EDT,185.00,20.37,20.15,20.50,+11.12,+120.22%,20,163,0.00%,164.22,"Apr 26, 2018","May 25, 2018",Put
324,AAPL180525P00190000,2018-04-13 11:50PM EDT,190.00,15.77,15.55,17.05,0.00,-,1,1,0.00%,164.22,"Apr 26, 2018","May 25, 2018",Put
325,AAPL180525P00192500,2018-04-27 6:57AM EDT,192.50,27.95,0.00,0.00,0.00,-,1,1,0.00%,164.22,"Apr 26, 2018","May 25, 2018",Put
